"Identity","lat","lng"
"2107","51.0338275","3.7379173"
"2016","51.072839","4.1309833"
"2018","50.533772","5.2524531"
"2078","50.6303378","5.8391143"
"9910","49.505788","6.014298"
"2099","49.6095793","6.1203192"
"2047","49.5585365","5.7849811"
"2060","50.4639084","5.6772152"
"2036","50.403935","3.683966"
"2066","50.8631542","5.5482846"
"2033","50.9864098","3.5722084"
"2102","50.8313255","3.6283984"
"9313","51.2250149","4.4656869"
"2077","50.9837579","3.8460357"
"2108","49.573007","5.5384456"
"9323","51.011487","5.4953353"
"9163","51.0483053","4.5104471"
"9604","50.6047729","3.4102525"
"2065","50.8231003","4.9693922"
"2021","50.4914403","4.8942397"
"8095","50.353928","4.895827"
"9914","50.4095279","4.2063591"
"9142","50.7719231","4.5430591"
"2048","51.1462276","4.9577308"
"2061","50.0633405","4.4950906"
"2088","51.1789493","3.2337491"
"2087","51.1742483","4.7897717"
"9901","51.1058991","4.3636547"
"9602","50.7133523","4.5162566"
"2090","50.8146372","3.1205159"
"7059","51.0159983","4.2442283"
"9401","51.1216115","3.0004897"
"2023","51.0129742","5.7254677"
"2083","50.598825","5.5011327"
"9813","50.8721555","4.3964415"
"9205","49.7085268","6.4897427"
"9807","50.8365808","4.308187"
"9918","51.2222724","3.2789144"
"9148","50.9016944","3.1149474"
"2062","50.8590153","2.9133862"
"2063","50.4510082","3.9838572"
"2012","51.0054317","4.8201772"
"2098","50.6368596","3.7824297"
"2120","51.027219","2.8637031"
"2017","50.9092942","5.318497"
"2119","49.6092805","6.0769828"
"2089","50.6971729","4.4026242"
"2096","50.7235663","4.6323377"
"9605","50.6321321","6.0172437"
"7077","49.9624484","5.921784"
"2094","50.4963346","4.2277478"
"2035","50.9541879","4.4526027"
"2032","51.1451426","4.5557363"
"9143","50.49949","4.5783512"
"2040","51.0586911","4.0183719"
"2064","51.2218234","5.3191538"
"2091","51.1792364","4.4335014"
"2092","51.2735228","4.4572666"
"2093","51.1412541","4.4567075"
"2100","51.2353462","4.4736245"
"2111","50.4180188","4.4395424"
"2024","50.8742292","4.283257"
"2121","51.0558387","4.463052"
"2112","50.8539812","4.3948296"
"2045","50.7489306","4.2446766"
"2084","51.0895715","5.0657034"
"9509","50.9768163","5.0433367"
"9145","51.1806313","4.1952438"
"9303","50.445151","3.9232464"
"2070","49.8516021","6.1149953"
"2085","49.7542736","6.1010594"
"2097","50.80303","5.1979649"
"9158","50.8523745","3.2699227"
"2101","50.8872916","4.6646575"
"2103","51.34806","4.76054"
"9501","50.2835847","4.2978851"
"9702","50.9476501","3.9863942"
"2095","50.2638985","5.0659401"
"2067","51.0859614","4.2573466"
"7030","50.8878454","4.7521831"
"2116","50.6891326","4.3173259"
"2029","50.6074387","4.3336371"
"2115","50.7233937","4.6313865"
"2074","49.7043471","5.8054539"
"2044","50.8366394","4.0056057"
"2030","50.4042949","6.0650135"
"2068","50.7715517","3.3964959"
"2110","50.7489306","4.2446766"
"2106","50.8621755","4.4295642"
"2011","50.8632992","4.4307746"
"2073","50.84189","4.464702"
"2079","49.9907772","6.0840389"
"9817","50.6608947","5.5648275"
"2105","50.6171817","5.6675993"
"2104","50.6623314","5.6321455"
"2071","50.7877834","3.8741372"
"2058","51.3246912","4.9673079"
"2072","50.7173458","3.2391712"
"9703","51.3639133","4.5591183"
"2039","51.2504301","4.6074619"
"2109","51.0603627","5.2221678"
"2055","51.0082637","3.8298595"
"2050","50.2143418","5.3324929"
"2059","51.0393909","3.5423787"
"9136","51.4123971","5.0102173"
"2056","51.1839084","3.5888067"
"9144","51.070956","4.6565233"
"2034","49.9081697","5.3418038"
"2075","50.0190177","5.7325376"